,Exercise,Acting,Fashion,Activity,Religion,Office
0,dance,improv,fitting,audition,religious,course
1,yoga,comedy,model,photo,prayer,workshop
2,meditation,acting,fashion,video,church,lesson
3,martial,reading,wardrobe,film,service,meeting
4,soloist,cast,make up,shoot,worship,team
5,fight,performance,costume,meetup,bible,group
6,ballet,sketch,,meet-up,,interview
7,taekwondo,theater,,meet up,,lecture
8,choreo,read,,event,,buisness
9,taichi,sing,,art,,development
10,fitness,script,,shop,,training
11,dancing,scene,,wedding,,network
12,pilates,callback,,craft,,retreat
13,salsa,band,,catwalk,,summit
14,practice,audition,,movie,,class
15,capoeira,rehearsal,,paint,,zoom
16,,waiting room,,game,,test
17,,,,headshot,,planning
18,,,,,,interview
19,,,,,,work
20,,,,,,working
21,,,,,,call
22,,,,,,market
23,,,,,,buisness
24,,,,,,study
25,,,,,,presentation
26,,,,,,offsite
27,,,,,,off-site
28,,,,,,project
29,,,,,,conference
30,,,,,,session
31,,,,,,mentor
32,,,,,,therapy
33,,,,,,panel
34,,,,,,discussion
35,,,,,,distribution
36,,,,,,office
